,0,1
1474,878,458
1475,915,494
1476,621,479
1477,1159,806
1478,968,571
1479,645,445
1480,695,472
1481,1436,533
1482,1162,807
1483,792,727
1484,873,599
1485,561,602
1486,1557,503
1487,602,802
1488,761,499
1489,360,891
1490,821,464
1491,969,573
1492,1421,527
1493,621,480
1494,879,460
1495,645,446
1496,694,473
1497,1167,813
1498,925,442
1499,916,498
1500,1169,813
1501,916,498
1502,793,733
1503,875,602
1504,1545,500
1505,558,605
1506,355,904
1507,821,465
1508,600,813
1509,761,500
1510,645,446
1511,620,480
1512,880,460
1513,970,576
1514,694,475
1515,926,444
1516,1171,817
1517,917,499
1518,1172,818
1519,1406,523
1520,917,499
1521,795,740
1522,598,821
1523,557,609
1524,877,606
1525,344,918
1526,1536,498
1527,821,466
1528,761,500
1529,917,499
1530,645,447
1531,1394,520
1532,620,484
1533,695,475
1534,972,575
1535,1175,821
1536,928,444
1537,881,461
1538,1250,433
1539,1178,825
1540,795,752
1541,329,947
1542,554,614
1543,879,612
1544,592,842
1545,1518,492
1546,762,503
1547,618,486
1548,1189,837
1549,919,500
1550,822,467
1551,974,579
1552,643,448
1553,694,477
1554,1369,510
1555,931,448
1556,881,461
1557,755,444
1558,1370,512
1559,797,757
1560,553,618
1561,320,958
1562,1510,491
1563,920,501
1564,763,504
1565,881,615
1566,590,851
1567,823,470
1568,1190,844
1569,694,478
1570,618,488
1571,1357,507
1572,975,581
1573,882,462
1574,643,449
1575,755,444
1576,935,447
1577,797,763
1578,551,621
1579,312,969
1580,763,505
1581,882,618
1582,976,583
1583,823,470
1584,919,501
1585,1500,489
1586,586,864
1587,693,480
1588,1197,849
1589,616,489
1590,642,450
1591,936,450
1592,1345,503
1593,882,463
1594,755,445
1595,1232,428
1596,1347,503
1597,799,772
1598,549,627
1599,299,977
1600,920,501
1601,762,506
1602,582,876
1603,824,470
1604,1202,859
1605,1492,487
1606,977,583
1607,882,621
1608,694,480
1609,616,490
1610,937,451
1611,642,452
1612,1335,500
1613,800,786
1614,545,632
1615,281,989
1616,922,505
1617,825,472
1618,981,588
1619,763,509
1620,614,493
1621,577,903
1622,1476,481
1623,886,628
1624,1217,873
1625,640,453
1626,693,484
1627,941,453
1628,1316,492
1629,1315,492
1630,1174,329
1631,803,792
1632,273,994
1633,543,636
1634,572,917
1635,922,506
1636,887,632
1637,826,473
1638,763,509
1639,1467,479
1640,1224,882
1641,613,495
1642,693,484
1643,982,589
1644,942,456
1645,860,429
1646,640,455
1647,1306,490
1648,981,588
1649,1306,490
1650,1174,329
1651,265,1000
1652,802,802
1653,542,640
1654,568,931
1655,825,474
1656,923,504
1657,1460,478
1658,764,513
1659,612,498
1660,889,636
1661,1230,889
1662,983,591
1663,692,486
1664,860,429
1665,639,456
1666,944,457
1667,1294,486
1668,1175,329
1669,805,810
1670,539,643
1671,265,1009
1672,565,947
1673,611,500
1674,764,513
1675,826,475
1676,891,641
1677,1284,482
1678,1453,477
1679,984,592
1680,946,458
1681,692,488
1682,924,507
1683,639,456
1684,1236,898
1685,860,429
1686,885,466
1687,1205,421
1688,1175,329
1689,558,969
1690,805,826
1691,250,1021
1692,763,516
1693,610,502
1694,828,477
1695,925,508
1696,536,651
1697,692,491
1698,894,648
1699,950,461
1700,1438,472
1701,638,457
1702,1267,477
1703,887,467
1704,986,595
1705,860,429
1706,1249,915
1707,1250,914
1708,553,975
1709,805,834
1710,764,518
1711,238,1029
1712,829,478
1713,608,504
1714,1431,472
1715,531,655
1716,692,492
1717,954,463
1718,925,508
1719,896,651
1720,637,459
1721,986,595
1722,860,429
1723,1255,923
1724,888,469
1725,1260,474
1726,809,448
1727,986,595
1728,810,843
1729,765,519
1730,548,981
1731,608,506
1732,241,1038
1733,530,658
1734,829,480
1735,956,466
1736,1425,470
1737,692,493
1738,926,509
1739,899,657
1740,637,460
1741,1261,930
1742,890,471
